1-call-site,104.463,78199
2-call-site,686.456,148033
animals,40.296,43631
inflamation,2.367,2327
rvcheck,194.34,72952
sql-02,0.022,4
sql-06,0.023,32
sql-10,43.513,504
sql-14,56.033,8
1-object-1-type,256.431,0
abduce,2.884,3023
buildwall,67.783,44779
scc,55.676,47527
sql-03,0.003,0
sql-07,0.002,0
sql-11,1.247,936
sql-15,11.549,291
1-object,349.527,72995
ancestor,14.888,22272
downcast,1627.128,181463
path,0.017,6
sgen,12.01,984
sql-04,0.012,13
sql-08,1.306,0
sql-12,0.207,109
1-type,13.087,9256
andersen,27.711,53005
escape,5.096,4802
polysite,85.158,29463
sql-01,0.05,17
sql-05,0.003,0
sql-09,0.217,7
sql-13,0.006,2
