1-call-site,18,19,19,20,18,18,19,17,20,17,20,18,19,18,19,20,18,18,19,20,19,19,19,19,18,19,18,19,19,19,18,19
1-object,8,9,7,10,8,10,7,7,7,6,8,10,8,9,7,10,9,8,6,7,8,7,8,8,8,7,9,7,6,10,6,8
1-object-1-type,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-type,7,9,6,7,8,7,7,6,7,8,8,7,6,7,8,7,6,7,8,7,8,6,7,7,8,8,8,7,9,6,7,8
2-call-site,20,17,18,17,20,19,20,20,21,19,17,19,15,17,22,20,17,19,18,20,18,19,18,19,18,20,19,19,18,19,18,22
abduce,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ancestor,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
andersen,7,8,5,7,6,7,7,8,7,9,7,6,7,7,5,6,6,7,6,6,7,8,6,6,6,6,6,6,8,7,5,6
animals,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
buildwall,113,155,173,37,157,47,164,74,71,37,29,232,158,105,126,193,47,190,193,90,132,151,147,49,138,50,108,240,82,126,203,75
clique,6,5,5,5,5,8,5,7,6,5,7,10,6,8,5,5,7,5,5,5,8,6,6,5,6,8,8,10,6,6,5,6
cliquer,37,56,36,43,46,38,37,47,30,39,43,58,42,43,47,40,39,29,24,37,46,53,42,23,26,26,23,26,55,52,59,47
downcast,53,52,47,51,50,50,51,48,50,51,48,53,50,51,53,51,51,50,51,53,52,52,52,50,53,48,51,49,48,51,50,51
escape,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
inflamation,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,18,17,17,17,17,17,17,17,17
modref,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
nearlyscc,562,2494,2340,454,178,158,231,1857,197,307,499,1526,216,448,230,370,207,248,477,226,213,2016,1934,2336,279,1429,299,274,2243,464,2588,1966
path,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
polysite,49,53,52,52,52,52,54,49,53,53,55,49,49,56,59,53,51,52,52,56,50,53,55,52,52,53,50,51,52,50,49,54
rsg,9,8,9,10,8,10,8,10,8,8,9,9,9,9,9,9,10,9,8,9,10,9,9,9,8,10,8,8,8,8,9,8
rvcheck,129,360,274,271,207,254,135,308,373,194,96,356,214,354,214,382,122,335,325,144,382,91,396,222,402,90,241,344,226,350,149,356
scc,100,137,160,75,78,120,78,223,103,72,90,84,130,96,65,77,187,86,98,115,56,125,91,79,119,94,114,158,80,55,103,69
sgen,21,22,21,21,21,21,21,21,21,22,21,21,21,21,22,21,21,21,21,21,21,21,21,21,22,21,21,21,21,21,21,22
ship,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
small,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sql-01,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
sql-03,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
sql-04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-05,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-07,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
sql-08,84,58,117,110,52,99,105,83,108,81,83,111,54,101,72,58,104,103,70,85,59,118,97,75,101,61,85,70,73,118,96,103
sql-09,13,15,16,17,9,19,16,17,19,16,12,17,14,17,11,15,16,14,15,15,15,12,10,12,12,14,9,11,15,14,15,14
sql-10,79,100000000,100000000,114,114,100000000,100000000,108,100000000,100000000,71,100000000,100000000,100000000,100000000,88,126,116,107,100000000,70,100000000,101,100000000,93,591,115,98,113,100000000,78,100000000
