1-call-site,174,221,158,236,134,158,157,161,272,49,72,191,169,249,272,150,191,345,146,127,154,107,250,159,195,171,129,77,179,235,133,173
1-object,133,63,6,58,111,129,62,8,200,117,107,68,131,55,67,7,7,71,65,72,61,393,130,123,198,229,6,7,130,153,9,68
1-type,65,54,31,63,131,132,114,55,82,32,35,63,32,116,112,52,133,61,115,32,7,173,104,58,37,36,119,55,116,113,58,139
2-call-site,225,202,227,250,324,66,150,147,176,171,250,201,364,140,126,124,197,234,338,140,314,238,173,327,157,218,241,349,77,171,193,271
abduce,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ancestor,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
animals,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
buildwall,1580,1417,1976,1061,1041,832,259,659,1784,1114,1589,1592,785,2077,1763,830,1346,1397,1356,1510,1236,1237,1489,1587,910,223,1272,1235,1463,449,884,781
clique,61,19,47,30,50,17,21,19,13,64,66,16,18,41,19,17,19,47,31,50,29,18,29,32,18,29,32,59,31,30,30,20
cliquer,33,34,33,27,37,44,29,32,42,35,39,32,52,34,32,41,51,31,31,44,40,35,44,30,28,30,27,33,39,34,36,45
downcast,505,54,525,492,481,484,503,478,488,550,487,939,51,491,509,502,953,496,501,469,499,504,517,510,533,955,963,508,490,488,48,494
escape,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
inflamation,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17
modref,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
nearlyscc,1188,1554,1233,1225,976,2173,1278,984,1212,1159,4801,1658,915,2167,1037,2075,1283,1871,943,884,1059,955,1913,1853,1192,2486,1891,2448,949,1979,1797,2245
path,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
polysite,54,52,51,52,56,50,52,54,50,56,52,52,51,52,51,57,54,51,53,50,54,51,53,53,52,52,51,52,50,53,51,52
rsg,9,117,114,8,8,9,10,8,120,9,113,9,116,115,9,9,8,68,68,115,9,8,8,112,9,110,10,8,10,110,8,9
rvcheck,4033,1068,3245,3294,4066,1162,3037,3505,1469,3632,3977,3230,2321,3816,4438,3780,4198,3868,3332,4029,3045,2749,3822,3121,3104,3605,906,2762,3203,4183,2201,3991
scc,642,601,899,1071,377,865,1765,592,610,621,626,612,860,878,689,863,1143,874,798,1124,1076,606,865,838,1207,627,849,583,1134,631,1111,632
sgen,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,21,22,21,21,21
small,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sql-01,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
sql-03,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
sql-04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-05,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-07,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
sql-08,134,300,210,351,263,225,289,446,426,298,308,375,146,208,293,277,328,217,301,365,329,181,275,325,145,239,393,304,194,416,276,422
sql-09,57,66,52,63,70,50,50,51,65,94,52,50,34,50,53,60,9,49,52,63,50,61,51,61,63,70,68,61,60,60,60,70
sql-10,2973,586,591,3260,2816,252,3016,3098,2637,2651,3048,2601,2774,3304,3329,314,397,365,2787,3014,385,2831,477,271,3295,267,3139,400,2989,460,3244,2921
sql-11,527,673,535,443,478,515,530,415,502,668,386,467,626,453,393,635,294,468,471,718,608,792,567,410,679,435,500,692,530,414,434,495
sql-12,46,40,46,40,40,46,21,15,46,40,46,21,40,21,40,15,46,40,15,46,15,15,40,46,15,46,46,21,15,46,40,21
sql-13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
sql-14,11,11,7,11,11,7,11,7,11,11,11,11,11,7,7,7,11,7,11,11,11,11,11,11,7,11,7,11,7,7,7,11
sql-15,423,471,416,494,798,520,802,792,742,776,803,444,447,740,505,430,462,768,440,421,806,819,778,449,452,813,460,446,453,540,764,798
traffic,7,6,6,6,6,6,6,7,6,6,6,6,6,7,6,7,7,6,6,6,6,7,7,7,6,6,6,6,6,6,6,7
