1-call-site,19,20,19,19,22,21,20,19,18,18,18,20,20,18,21,20,22,22,19,19,20,19,18,19,21,20,20,20,18,21,19,22
1-object,9,9,7,7,8,8,8,9,9,10,7,9,7,9,7,7,7,8,8,9,8,8,8,8,13,7,7,7,10,9,8,8
1-object-1-type,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-type,6,7,9,7,7,6,7,7,7,6,8,6,7,6,7,6,6,7,7,6,8,7,7,7,8,7,6,6,7,7,6,8
2-call-site,23,17,19,22,19,24,19,21,23,22,25,19,19,20,20,20,19,18,22,21,21,21,17,18,21,19,20,21,21,20,20,20
abduce,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ancestor,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
andersen,8,7,5,6,7,9,6,8,6,5,7,6,7,6,7,6,6,6,7,6,6,7,6,6,6,6,7,6,7,10,6,5
animals,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
buildwall,1000000,26582,4087,2061,51,2753,7951,1000000,44,764,1205,14868,33,265,12621,4265,406,1000000,1000000,418,1846,311,705,425,45,380,5919,99,4069,1000000,1097,20127
clique,7,7,5,7,8,8,7,16,7,7,6,7,7,13,7,7,6,6,7,6,9,7,10,8,7,6,13,6,6,6,7,7
cliquer,45,50,41,33,26,36,42,43,40,35,38,29,24,38,29,29,29,47,45,34,39,51,35,31,35,43,37,40,39,35,38,34
downcast,49,48,49,53,50,47,50,48,49,48,51,49,52,52,50,50,49,52,51,51,51,51,50,49,47,51,47,46,52,52,50,51
escape,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
inflamation,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,18
modref,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
nearlyscc,607,526,1847,350,242,264,250,377,312,182,247,267,259,428,317,277,241,333,382,297,310,254,459,498,445,231,542,155,1335,519,312,506
path,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
polysite,53,49,55,54,52,52,53,55,51,51,51,52,51,53,55,53,60,50,52,59,51,50,50,52,50,53,50,50,52,50,49,54
rsg,8,8,8,11,9,9,8,8,9,9,10,8,9,9,8,10,8,8,10,8,10,10,8,9,8,9,11,8,8,9,7,10
rvcheck,467,2199,989,1997,3191,1997,923,1052,586,1794,2403,1274,1962,65,1320,262,231,2258,685,260,1143,1307,209,359,1994,46,3045,1416,151,1937,3038,1713
scc,59,114,2351,407,177,159,1160,700,92,131,1576,70,3591,1260,110,171,319,160,144,500,1091,166,198,146,96,156,78,1461,94,117,278,231
sgen,21,21,21,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,21,21,21,21,21,21
ship,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
