1-call-site,24,9,17,8,60,286,75,107,35,108,45,22,32,9,21,32,11,100,110,52,54,76,21,129,51,29,15,16,37,55,43,32
1-object,354,97,191,18,136,448,98,34,13,12,7,20,13,73,6,15,18,5,445,19,15,75,197,169,15,168,318,13,7,151,16,65
1-object-1-type,867148,924762,1213098,870373,1045545,1104981,833319,825522,1052266,782933,784706,841508,1113913,1041734,1106120,840533,818175,1100240,818487,1091540,1106133,822777,894089,1183879,893295,1143638,873174,817188,895830,879552,903727,887431
1-type,313,10,4,35,14,6,10,127,129,9,13,8,12,34,68,14,7,40,38,16,98,58,287,7,97,129,6,74,8,6,35,4
2-call-site,54,180,123,1123,89,182,34,32,79,73,81,84,196,65,142,43,164,502,63,45,24,83,194,143,57,59,65,26,144,88,51,34
abduce,365423,381379,377944,378452,363480,356349,353419,352728,357894,356041,357916,358988,348889,354323,359148,359216,359192,352184,342095,355143,353252,349643,362750,363857,366212,358797,365358,364910,355024,364043,361439,361602
ancestor,3,9,5,5,5,15,3,12,4,8,5,5,3,16,5,1,1,9,24,115,5,5,3,8,4,3,4,12,5,3,13,36
andersen,4,4,6,4,6,4,7,4,7,49,5,3,4,44,43,4,9,5,4,5,3,18,12,5,65,4,7,11,4,6,4,4
animals,3,3,4,1,3,4,3,3,4,1,4,1,4,4,3,3,4,3,3,4,3,3,4,1,4,3,1,3,2,4,3,3
buildwall,91,106,25,18,10,16,286,98,144,9,29,278,14,3,164,75,138,48,74,988,321,16,196,60,6,224,190,225,60,8,42,97
clique,85704,16005,49563,51931,52741,125765,36152,51861,87176,52216,86378,85970,86037,133723,51738,53871,52140,53446,94252,61621,144140,55806,59480,58506,142954,58452,56317,56790,57020,147031,57647,146170
cliquer,92,7,468,34,38,96,8,4,65,3,131,4,1,3,3,27,17,1,66,12,165,22,25,36,34,36,30,75,1,3,45,213
downcast,19,150,49,196,164,26,98,49,44,131,229,29,82,55,551,124,50,67,25,256,103,76,14,296,49,57,75,60,58,162,161,225
escape,34,8,40,9,127,542,11,65,79,287,44,99,135,34,132,41,255,68,97,133,18,197,75,10,96,100,11,10,36,313,8,189
