1-call-site,14.0,7.0,10.0,7.0,31.0,123.0,36.0,49.0,21.0,50.0,26.0,15.0,19.0,8.0,14.0,21.0,9.0,43.0,53.0,28.0,29.0,37.0,15.0,59.0,28.0,17.0,11.0,11.0,22.0,34.0,24.0,19.0
1-object,100.0,35.0,43.0,13.0,44.0,105.0,31.0,18.0,10.0,10.0,6.0,13.0,10.0,30.0,6.0,11.0,12.0,6.0,115.0,13.0,12.0,29.0,54.0,49.0,11.0,58.0,86.0,11.0,7.0,51.0,15.0,25.0
1-object-1-type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1-type,123.0,34.0,5.0,21.0,10.0,6.0,9.0,59.0,73.0,8.0,10.0,8.0,10.0,22.0,12.0,11.0,8.0,24.0,23.0,14.0,41.0,33.0,116.0,7.0,42.0,49.0,7.0,31.0,8.0,6.0,22.0,6.0
2-call-site,114.0,384.0,234.0,1924.0,178.0,376.0,76.0,69.0,153.0,144.0,152.0,165.0,368.0,144.0,267.0,88.0,313.0,883.0,132.0,90.0,56.0,161.0,356.0,256.0,116.0,130.0,134.0,56.0,260.0,182.0,112.0,72.0
abduce,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ancestor,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0
andersen,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,8.0,4.0,3.0,3.0,7.0,7.0,3.0,4.0,4.0,3.0,3.0,3.0,6.0,5.0,3.0,7.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0
animals,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,27.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,94.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
buildwall,86.0,84.0,28.0,22.0,14.0,20.0,264.0,94.0,137.0,12.0,32.0,282.0,19.0,6.0,147.0,73.0,109.0,44.0,72.0,856.0,292.0,19.0,183.0,59.0,10.0,209.0,184.0,194.0,57.0,11.0,40.0,89.0
clique,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cliquer,24.0,34.0,20.0,5.0,5.0,7.0,3.0,3.0,6.0,3.0,8.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,6.0,28.0,10.0,4.0,4.0,5.0,39.0,5.0,5.0,6.0,2.0,2.0,5.0,11.0
downcast,92.0,705.0,224.0,837.0,778.0,124.0,438.0,219.0,206.0,593.0,1023.0,138.0,384.0,259.0,2852.0,585.0,245.0,310.0,112.0,1257.0,513.0,370.0,70.0,1316.0,221.0,267.0,318.0,274.0,248.0,661.0,736.0,900.0
escape,3.0,3.0,3.0,3.0,5.0,7.0,3.0,4.0,4.0,6.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,6.0,3.0,5.0
inflamation,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
modref,3.0,8.0,3.0,5.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,3.0,4.0,3.0,9.0,4.0,5.0,4.0,3.0,8.0,5.0,3.0,4.0,6.0,3.0,3.0,6.0,5.0,3.0,5.0,7.0
nearlyscc,4.0,13.0,7.0,3.0,52.0,5.0,3.0,4.0,5.0,6.0,68.0,6.0,16.0,5.0,54.0,58.0,27.0,46.0,4.0,5.0,3.0,39.0,7.0,55.0,41.0,5.0,4.0,17.0,23.0,41.0,6.0,19.0
